CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_DURATION,CURRENT_FIX_START,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_START_TIME,CURRENT_SAC_END_TIME
642.8,483.2,829,7,653.8,484.3,699.9,423.6,836,875
708.8,410.1,658,876,708.4,412,736,398.7,1534,1569
746.9,395,265,1570,745.8,391.8,707.4,393,1835,1871
700.6,401.6,1629,1872,732.4,396.2,709,427.4,3501,3537
698.9,447.6,233,3538,695.2,449.1,704.9,416.4,3771,3808
701.1,406.7,60,3809,698,405.4,678.1,388.8,3869,3901
666,380.1,325,3902,665.5,381,666.5,377.7,4227,4244
677.5,384.8,448,4245,690.6,389.1,715.1,421.7,4693,4727
729.7,436.4,230,4728,732.8,442.1,721.1,439.9,4958,4987
710.9,436.6,555,4988,713.5,435.3,716.1,460.1,5543,5575
711.4,473.4,226,5576,712.1,475.3,710.2,438.5,5802,5832
709,419.2,534,5833,691.5,402.3,714.3,390,6367,6400
725.8,391.3,172,6401,727,389.1,701.8,383.1,6573,6606
710.7,378.7,1134,6607,723.3,384,743,361.3,7741,7776
762.8,349.4,310,7777,766.7,349.7,752.1,349.8,8087,8097
751.5,357.9,254,8098,753.9,375.5,766.2,370.2,8352,8362
766.2,377.7,37,8363,767.7,385.2,771.4,391.1,8400,8421
751.7,394.2,266,8422,740.4,398,706.1,419.8,8688,8728
691.2,437.8,236,8729,678.9,446.2,688,408.2,8965,8994
692.1,416.4,218,8995,692.8,419.3,675,415.6,9213,9244
665.4,418.1,221,9245,667.4,417.9,703.2,439.1,9466,9506
702.4,440.8,260,9507,703.1,435.4,688.1,444,9767,9798
677.9,441,174,9799,678,437.6,681,399.9,9973,9997
697.4,393.5,826,9998,703,389.7,697.3,437.6,10824,10860
697.5,456.8,348,10861,701.3,459.3,710.1,414.6,11209,11240
713.3,413.7,820,11241,690.3,412.5,660.7,397,12061,12094
644.5,381.4,470,12095,651.6,372.2,676.5,360.8,12565,12599
688.9,361.5,79,12600,690.6,361.8,672.4,361.9,12679,12710
685.2,369.9,920,12711,704,375.2,733.3,369.5,13631,13671
737.1,367.9,287,13672,740.3,371.5,718.1,396.3,13959,13993
708.2,408.1,255,13994,708.4,408.6,717.1,373.1,14249,14279
721,370.5,272,14280,720.6,373.1,735.7,370.1,14552,14583
747.4,378,384,14584,747.2,380.7,732.3,371.9,14968,14999
714.3,371.8,520,15000,718.1,384.1,735,402.1,15520,15553
741.6,417.4,242,15554,738,422.4,719.7,416.4,15796,15827
697.6,412.7,748,15828,691.7,423.7,688.1,444.6,16576,16607
691.2,447.4,311,16608,699.5,449.6,700.2,424.8,16919,16929
697.9,404.3,615,16930,703.1,396.8,737.9,424.8,17545,17586
736.2,432.3,229,17587,734.8,429.8,729.7,423.3,17816,17847
717.6,424.2,324,17848,718.6,420.4,719,389.6,18172,18194
726.2,391.3,952,18195,717.9,405.4,775.6,420.5,19147,19193
769.5,424,361,19194,763.3,426.2,749,411.7,19555,19583
738.4,404,363,19584,731,396.9,723.5,385.2,19947,19973
712.8,397.3,1012,19974,712.5,410.3,703.5,419.5,20986,21016
686.2,420.3,585,21017,683.3,424.1,673.6,460.5,21602,21635
683.8,480.2,640,21636,692.9,479.7,724.4,477.9,22276,22316
723.2,478.2,189,22317,723.8,481.1,714.8,481,22506,22536
714.6,480.1,1339,22537,734.6,465.3,733.7,432.3,23876,23904
713,435.9,1127,23905,694.1,444.3,714.5,433.1,25032,25065
732.9,418.2,280,25066,738,405.5,717.2,398.8,25346,25377
707.5,390.8,193,25378,706.3,390,696.1,389,25571,25598
681.5,396.8,300,25599,677,402.4,684.9,373.4,25899,25922
694.3,381.4,621,25923,691.7,392.2,669.8,420.6,26544,26577
650,446.1,855,26578,684,453.7,732.1,446.6,27433,27469
773.1,434.4,1669,27470,747.4,397.6,736.6,362.1,29139,29166
737.1,361.8,568,29167,738,367.8,648.9,407.5,29735,29773
621.3,416.2,530,29774,618.3,422,603.9,440.3,30304,30338
586.1,435.9,761,30339,585.3,439.1,542.7,439.1,31100,31147
545.1,439.6,384,31148,538.1,439.6,600.8,438.1,31532,31577
600.7,434,98,31578,602.4,432.9,559.2,432,31676,31717
558,431.8,114,31718,558.8,430.9,656.5,373,31832,31882
666,361.8,129,31883,671.5,358,779.9,441.3,32012,32048
783.6,449,351,32049,779.2,452.8,917.3,582.2,32400,32449
913.5,601.5,106,32450,912.7,602.9,785.9,760.6,32556,32605
766.1,778.8,284,32606,761,778.2,720.1,421.7,32890,32965
717.7,430.3,116,32966,721.2,430.2,597.4,185.8,33082,33148
602,195.5,145,33149,604.8,197.1,1022,220.1,33294,33362
1003.7,226.5,236,33363,1004.7,224,837.7,461.8,33599,33663
839.1,454.6,187,33664,837.6,455.9,804.6,471.1,33851,33885
785.3,481,187,33886,780,485.3,257.7,303.9,34073,34159
262,307.9,199,34160,264.2,311.2,836.7,483.7,34359,34433
816.4,478.4,1105,34434,819.2,476.1,433.9,467.4,35539,35611
440.1,475.5,180,35612,440.6,477.9,835.3,478.7,35792,35856
821.8,476.7,275,35857,818.7,475.1,1005.3,467.5,36132,36187
1000.7,472.2,323,36188,1001.4,475.6,1021.5,471,36511,36542
1038.2,477,647,36543,1046.6,481.7,1038.6,473.5,37190,37221
1026.3,474.4,733,37222,,,,,,